Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. arenaria    ,36       ,          ,1  ,10-NC    ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,36       ,          ,1  ,55-NC    ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,36       ,          ,1  ,98-NC    ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,51       ,          ,1  ,1-NC     ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,51       ,          ,1  ,2-NC     ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,54       ,          ,1  ,5-NC     ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,54       ,          ,1  ,64-NC    ,North Carolina,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,54       ,          ,1  ,54-Va    ,Virginia      ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,53       ,          ,1  ,88-Cal-1 ,California    ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,54       ,          ,1  ,105-Te   ,Texas         ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,51       ,          ,1  ,87-Col   ,              ,Columbia    ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,54       ,          ,1  ,17-Gr    ,              ,Greece      ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,51       ,          ,1  ,80-Bel-4 ,              ,Belgium     ,automixis   ,"Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499."                                                                                                                                                                               
M. arenaria    ,30       ,38        ,18 ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. arenaria    ,40       ,48        ,34 ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. arenaria    ,51       ,56        ,68 ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. arenaria    ,51       ,53        ,1  ,Bri25    ,Brits         ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. arenaria    ,50       ,52        ,1  ,Umz3     ,Ifafa Beach   ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. arenaria    ,35       ,38        ,1  ,Worc2    ,De Doorns     ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. arenaria    ,50       ,53        ,1  ,Worc4    ,De Doorns     ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. carolinensis,18       ,          ,2  ,         ,              ,            ,amphimixis  ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. chitwoodi   ,14       ,18        ,6  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. chitwoodi   ,28       ,34        ,1  ,Mac1     ,Ugie          ,SouthAfrica ,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. cruciani    ,42       ,44        ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. enterolobii ,46       ,          ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. enterolobii ,44       ,45        ,1  ,E180     ,              ,Puerto Rico ,apomixis    ,"Rammah A, Hirschmann H: Meloidogyne mayaguensis n. sp. (Meloidogynidae), a Root-knot Nematode from Puerto Rico. J Nematol 1988, 20:58–69."                                                                                                                                                                                
M. exigua      ,18       ,          ,6  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. floridensis ,36       ,36        ,1  ,MSp      ,Florida       ,USA         ,automixis   ,"Handoo ZA, Nyczepir AP, Esmenjaud D, van der Beek JG, Castagnone-Sereno P, Carta LK, Skantar AM, Higgins JA: Morphological, Molecular, and Differential-Host Characterization of Meloidogyne floridensis n. sp. (Nematoda: Meloidogynidae), a Root-Knot Nematode Parasitizing Peach in Florida. J Nematol 2004, 36:20–35."
M. graminicola ,18       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
